* description: Calculates the construction wood demand for a certain share of NEW urban settlers based on SSP urban population and Churkina et al 2020. Calculated based on current urban population and peak urban population.
* unit: mio tDM
"* origin: calcOutput(type = ""ConstructionWoodDemand"", aggregate = TRUE, file = ""f73_construction_wood_demand.cs3"", round = 2) (madrat 2.18.3 | mrcommons 1.12.2)"
* creation date: Mon Jul 18 16:33:40 2022
"dummy,dummy,dummy,BAU,10pc,50pc,90pc,current_trajectories,further_acceleration,acheived_commitments"
"y2055,CHA,SSP1,0,22.83,114.14,205.44,0,22.83,22.83"
"y2025,CHA,SSP5,0,3.8,19.02,34.24,0,3.8,3.8"
"y2090,CHA,SSP4,0,30.54,152.69,274.84,0,30.54,30.54"
"y2045,CHA,SSP5,0,19.02,95.12,171.21,0,19.02,19.02"
"y2045,CHA,SSP1,0,19.02,95.11,171.2,0,19.02,19.02"
"y2040,CHA,SSP1,0,15.22,76.09,136.96,0,15.22,15.22"
"y2055,DEA,SSP3,0,0,0,0,0,0,0"
"y2060,DEA,SSP3,0,0,0,0,0,0,0"
"y2065,DEA,SSP5,0,1.77,8.87,15.96,1.77,1.77,1.77"
"y2050,DEA,SSP3,0,0,0,0,0,0,0"
"y2075,DEA,SSP1,0,1.69,8.47,15.25,1.69,1.69,1.69"
"y2070,DEA,SSP5,0,1.77,8.87,15.96,1.77,1.77,1.77"
"y2060,DEA,SSP5,0,1.77,8.87,15.96,1.77,1.77,1.77"
"y2090,DEA,SSP5,0,1.77,8.87,15.96,1.77,1.77,1.77"
"y2065,DEA,SSP3,0,0,0,0,0,0,0"
"y2090,DEA,SSP1,0,1.69,8.47,15.25,1.69,1.69,1.69"
"y2025,DEA,SSP3,0,0,0,0,0,0,0"
