* description: Calculates the construction wood demand for a certain share of NEW urban settlers based on SSP urban population and Churkina et al 2020. Calculated based on current urban population and peak urban population.
* unit: mio tDM
"* origin: calcOutput(type = ""ConstructionWoodDemand"", aggregate = TRUE, file = ""f73_construction_wood_demand.cs3"", round = 2) (madrat 2.18.3 | mrcommons 1.12.2)"
* creation date: Mon Jul 18 16:33:40 2022
"dummy,dummy,dummy,BAU,10pc,50pc,90pc,current_trajectories,further_acceleration,acheived_commitments"
"y2035,NEU,SSP3,0,0.36,1.81,3.26,0,0,0.36"
"y2060,NEU,SSP2,0,1.05,5.23,9.41,0,0,1.05"
"y2045,NEU,SSP5,0,1.16,5.79,10.41,0,0,1.16"
"y2035,NEU,SSP4,0,0.76,3.81,6.86,0,0,0.76"
"y2030,NEU,SSP5,0,0.46,2.31,4.17,0,0,0.46"
"y2040,NEU,SSP3,0,0.48,2.41,4.34,0,0,0.48"
"y2025,NEU,SSP4,0,0.25,1.27,2.29,0,0,0.25"
"y2050,NEU,SSP5,0,1.39,6.94,12.5,0,0,1.39"
"y2040,NEU,SSP4,0,1.02,5.08,9.14,0,0,1.02"
"y2035,NEU,SSP5,0,0.69,3.47,6.25,0,0,0.69"
"y2085,NEU,SSP2,0,1.51,7.55,13.59,0,0,1.51"
"y2030,NEU,SSP4,0,0.51,2.54,4.57,0,0,0.51"
"y2025,NEU,SSP5,0,0.23,1.16,2.08,0,0,0.23"
"y2025,NEU,SSP3,0,0.12,0.6,1.09,0,0,0.12"
"y2040,NEU,SSP5,0,0.93,4.63,8.33,0,0,0.93"
"y2095,NEU,SSP4,0,2,10,18,0,0,2"
"y2100,NEU,SSP4,0,2,10,18,0,0,2"
"y2100,NEU,SSP2,0,1.53,7.67,13.81,0,0,1.53"
"y2030,NEU,SSP3,0,0.24,1.21,2.17,0,0,0.24"
"y2065,NEU,SSP2,0,1.16,5.79,10.43,0,0,1.16"
"y2070,NEU,SSP2,0,1.27,6.36,11.45,0,0,1.27"
"y2095,NEU,SSP2,0,1.53,7.63,13.74,0,0,1.53"
"y2090,NEU,SSP2,0,1.52,7.59,13.67,0,0,1.52"
"y2085,REF,SSP5,0,1.8,9.01,16.22,0,0,1.8"
"y2075,REF,SSP5,0,1.8,9.01,16.22,0,0,1.8"
"y2025,REF,SSP2,0,0.11,0.54,0.98,0,0,0.11"
"y2090,REF,SSP5,0,1.8,9.01,16.22,0,0,1.8"
"y2070,REF,SSP5,0,1.8,9.01,16.22,0,0,1.8"
"y2080,REF,SSP5,0,1.8,9.01,16.22,0,0,1.8"
"y2070,REF,SSP4,0,2.28,11.38,20.48,0,0,2.28"
"y2095,REF,SSP5,0,1.8,9.01,16.22,0,0,1.8"
"y2085,REF,SSP4,0,2.32,11.62,20.91,0,0,2.32"
"y2035,REF,SSP2,0,0.32,1.59,2.85,0,0,0.32"
"y2060,REF,SSP4,0,2.24,11.22,20.2,0,0,2.24"
"y2075,REF,SSP4,0,2.29,11.46,20.63,0,0,2.29"
"y2100,REF,SSP5,0,1.8,9.01,16.22,0,0,1.8"
"y2045,REF,SSP4,0,1.69,8.47,15.25,0,0,1.69"
"y2090,REF,SSP1,0,1.86,9.3,16.74,0,0,1.86"
"y2065,REF,SSP4,0,2.26,11.3,20.34,0,0,2.26"
"y2080,REF,SSP4,0,2.31,11.54,20.77,0,0,2.31"
"y2030,REF,SSP2,0,0.22,1.08,1.95,0,0,0.22"
"y2080,REF,SSP1,0,1.86,9.3,16.74,0,0,1.86"
"y2095,REF,SSP1,0,1.86,9.3,16.74,0,0,1.86"
"y2025,REF,SSP4,0,0.82,4.09,7.37,0,0,0.82"
"y2065,REF,SSP5,0,1.77,8.87,15.96,0,0,1.77"
"y2040,REF,SSP4,0,1.49,7.44,13.4,0,0,1.49"
"y2030,REF,SSP3,0,0.14,0.69,1.25,0,0,0.14"
"y2025,REF,SSP5,0,0.34,1.71,3.08,0,0,0.34"
"y2050,REF,SSP3,0,0.41,2.06,3.71,0,0,0.41"
"y2075,REF,SSP1,0,1.86,9.3,16.74,0,0,1.86"
"y2055,REF,SSP5,0,1.61,8.04,14.47,0,0,1.61"
"y2070,REF,SSP2,0,0.98,4.88,8.78,0,0,0.98"
"y2060,REF,SSP5,0,1.74,8.72,15.7,0,0,1.74"
"y2055,REF,SSP3,0,0.48,2.4,4.31,0,0,0.48"
"y2025,REF,SSP3,0,0.07,0.35,0.63,0,0,0.07"
"y2085,REF,SSP3,0,0.88,4.41,7.94,0,0,0.88"
"y2055,REF,SSP4,0,2.07,10.36,18.65,0,0,2.07"
"y2095,REF,SSP2,0,1.14,5.72,10.29,0,0,1.14"
"y2045,REF,SSP3,0,0.34,1.72,3.1,0,0,0.34"
"y2090,REF,SSP3,0,0.95,4.74,8.54,0,0,0.95"
"y2100,REF,SSP1,0,1.86,9.3,16.74,0,0,1.86"
"y2030,REF,SSP4,0,1.08,5.39,9.7,0,0,1.08"
"y2100,REF,SSP2,0,1.15,5.77,10.38,0,0,1.15"
"y2040,REF,SSP2,0,0.42,2.09,3.76,0,0,0.42"
"y2055,REF,SSP2,0,0.72,3.6,6.48,0,0,0.72"
"y2030,REF,SSP5,0,0.61,3.05,5.49,0,0,0.61"
"y2035,REF,SSP4,0,1.28,6.42,11.55,0,0,1.28"
"y2040,REF,SSP3,0,0.28,1.39,2.5,0,0,0.28"
"y2045,REF,SSP2,0,0.52,2.59,4.67,0,0,0.52"
"y2060,REF,SSP2,0,0.82,4.1,7.38,0,0,0.82"
"y2100,REF,SSP4,0,2.37,11.86,21.34,0,0,2.37"
"y2085,REF,SSP1,0,1.86,9.3,16.74,0,0,1.86"
"y2050,REF,SSP2,0,0.62,3.09,5.57,0,0,0.62"
"y2070,REF,SSP1,0,1.86,9.3,16.74,0,0,1.86"
"y2095,REF,SSP3,0,1.02,5.08,9.14,0,0,1.02"
"y2085,REF,SSP2,0,1.12,5.62,10.12,0,0,1.12"
"y2040,REF,SSP5,0,1.05,5.26,9.48,0,0,1.05"
"y2035,REF,SSP3,0,0.21,1.04,1.88,0,0,0.21"
"y2045,REF,SSP1,0,1.19,5.97,10.75,0,0,1.19"
"y2050,REF,SSP4,0,1.9,9.5,17.1,0,0,1.9"
"y2090,REF,SSP2,0,1.13,5.67,10.21,0,0,1.13"
"y2045,REF,SSP5,0,1.27,6.37,11.47,0,0,1.27"
"y2075,REF,SSP2,0,1.05,5.23,9.41,0,0,1.05"
"y2050,REF,SSP1,0,1.35,6.77,12.18,0,0,1.35"
"y2080,REF,SSP2,0,1.11,5.57,10.03,0,0,1.11"
"y2025,REF,SSP1,0,0.31,1.53,2.75,0,0,0.31"
"y2040,REF,SSP1,0,1.03,5.17,9.31,0,0,1.03"
"y2065,REF,SSP2,0,0.9,4.49,8.08,0,0,0.9"
"y2090,REF,SSP4,0,2.34,11.7,21.05,0,0,2.34"
"y2095,REF,SSP4,0,2.36,11.78,21.2,0,0,2.36"
"y2030,REF,SSP1,0,0.61,3.05,5.49,0,0,0.61"
"y2080,REF,SSP3,0,0.81,4.07,7.33,0,0,0.81"
"y2100,REF,SSP3,0,1.08,5.41,9.75,0,0,1.08"
"y2035,REF,SSP5,0,0.83,4.16,7.48,0,0,0.83"
"y2060,REF,SSP3,0,0.55,2.73,4.92,0,0,0.55"
"y2035,REF,SSP1,0,0.83,4.14,7.45,0,0,0.83"
"y2065,REF,SSP1,0,1.79,8.95,16.11,0,0,1.79"
"y2055,REF,SSP1,0,1.51,7.57,13.62,0,0,1.51"
"y2050,REF,SSP5,0,1.47,7.36,13.25,0,0,1.47"
"y2075,REF,SSP3,0,0.75,3.74,6.73,0,0,0.75"
"y2060,REF,SSP1,0,1.67,8.36,15.05,0,0,1.67"
"y2065,REF,SSP3,0,0.61,3.07,5.52,0,0,0.61"
"y2070,REF,SSP3,0,0.68,3.4,6.12,0,0,0.68"
"y2065,RUS,SSP4,0,1.65,8.25,14.85,0,0,0"
"y2100,RUS,SSP2,0,0.56,2.79,5.02,0,0,0"
"y2060,RUS,SSP4,0,1.65,8.25,14.85,0,0,0"
"y2035,RUS,SSP4,0,1.65,8.25,14.85,0,0,0"
"y2025,RUS,SSP3,0,0.03,0.14,0.24,0,0,0"
"y2075,RUS,SSP4,0,1.65,8.25,14.85,0,0,0"
"y2025,RUS,SSP4,0,0.83,4.13,7.43,0,0,0"
"y2095,RUS,SSP2,0,0.56,2.79,5.02,0,0,0"
"y2040,RUS,SSP4,0,1.65,8.25,14.85,0,0,0"
"y2070,RUS,SSP4,0,1.65,8.25,14.85,0,0,0"
"y2035,RUS,SSP2,0,0.17,0.84,1.51,0,0,0"
"y2030,RUS,SSP4,0,1.65,8.25,14.85,0,0,0"
"y2095,RUS,SSP3,0,0.41,2.04,3.66,0,0,0"
"y2045,RUS,SSP4,0,1.65,8.25,14.85,0,0,0"
"y2025,RUS,SSP2,0,0.06,0.28,0.5,0,0,0"
"y2070,RUS,SSP2,0,0.56,2.79,5.02,0,0,0"
"y2050,RUS,SSP4,0,1.65,8.25,14.85,0,0,0"
"y2040,RUS,SSP3,0,0.11,0.54,0.98,0,0,0"
"y2030,RUS,SSP2,0,0.11,0.56,1,0,0,0"
"y2080,RUS,SSP4,0,1.65,8.25,14.85,0,0,0"
"y2050,RUS,SSP1,0,1.16,5.78,10.4,0,0,0"
"y2055,RUS,SSP4,0,1.65,8.25,14.85,0,0,0"
"y2030,RUS,SSP3,0,0.05,0.27,0.49,0,0,0"
"y2100,RUS,SSP1,0,1.16,5.78,10.4,0,0,0"
"y2085,RUS,SSP4,0,1.65,8.25,14.85,0,0,0"
"y2100,RUS,SSP4,0,1.65,8.25,14.85,0,0,0"
"y2050,RUS,SSP3,0,0.16,0.81,1.47,0,0,0"
"y2075,RUS,SSP1,0,1.16,5.78,10.4,0,0,0"
"y2045,RUS,SSP1,0,1.16,5.78,10.4,0,0,0"
"y2090,RUS,SSP4,0,1.65,8.25,14.85,0,0,0"
"y2100,RUS,SSP3,0,0.43,2.17,3.91,0,0,0"
"y2055,RUS,SSP3,0,0.19,0.95,1.71,0,0,0"
"y2080,RUS,SSP1,0,1.16,5.78,10.4,0,0,0"
"y2065,RUS,SSP1,0,1.16,5.78,10.4,0,0,0"
"y2085,RUS,SSP1,0,1.16,5.78,10.4,0,0,0"
"y2045,RUS,SSP3,0,0.14,0.68,1.22,0,0,0"
"y2090,RUS,SSP3,0,0.38,1.9,3.42,0,0,0"
"y2065,RUS,SSP2,0,0.5,2.51,4.52,0,0,0"
"y2055,RUS,SSP1,0,1.16,5.78,10.4,0,0,0"
"y2090,RUS,SSP1,0,1.16,5.78,10.4,0,0,0"
"y2055,RUS,SSP2,0,0.39,1.95,3.51,0,0,0"
"y2080,RUS,SSP3,0,0.33,1.63,2.93,0,0,0"
"y2095,RUS,SSP5,0,1.33,6.65,11.98,0,0,0"
"y2025,RUS,SSP5,0,0.22,1.11,2,0,0,0"
"y2095,RUS,SSP1,0,1.16,5.78,10.4,0,0,0"
"y2060,RUS,SSP2,0,0.45,2.23,4.01,0,0,0"
"y2035,RUS,SSP1,0,0.87,4.33,7.8,0,0,0"
"y2095,RUS,SSP4,0,1.65,8.25,14.85,0,0,0"
"y2050,RUS,SSP2,0,0.33,1.67,3.01,0,0,0"
"y2040,RUS,SSP1,0,1.16,5.78,10.4,0,0,0"
"y2070,RUS,SSP1,0,1.16,5.78,10.4,0,0,0"
"y2075,RUS,SSP3,0,0.3,1.49,2.69,0,0,0"
"y2085,RUS,SSP2,0,0.56,2.79,5.02,0,0,0"
"y2035,RUS,SSP3,0,0.08,0.41,0.73,0,0,0"
"y2030,RUS,SSP1,0,0.58,2.89,5.2,0,0,0"
"y2060,RUS,SSP1,0,1.16,5.78,10.4,0,0,0"
"y2065,RUS,SSP5,0,1.33,6.65,11.98,0,0,0"
"y2085,RUS,SSP3,0,0.35,1.76,3.18,0,0,0"
"y2075,RUS,SSP2,0,0.56,2.79,5.02,0,0,0"
"y2070,RUS,SSP3,0,0.27,1.36,2.44,0,0,0"
"y2100,RUS,SSP5,0,1.33,6.65,11.98,0,0,0"
"y2030,RUS,SSP5,0,0.44,2.22,3.99,0,0,0"
"y2080,RUS,SSP2,0,0.56,2.79,5.02,0,0,0"
"y2090,RUS,SSP5,0,1.33,6.65,11.98,0,0,0"
"y2075,RUS,SSP5,0,1.33,6.65,11.98,0,0,0"
"y2060,RUS,SSP5,0,1.33,6.65,11.98,0,0,0"
"y2040,RUS,SSP2,0,0.22,1.12,2.01,0,0,0"
"y2065,RUS,SSP3,0,0.24,1.22,2.2,0,0,0"
"y2080,RUS,SSP5,0,1.33,6.65,11.98,0,0,0"
"y2085,RUS,SSP5,0,1.33,6.65,11.98,0,0,0"
"y2090,RUS,SSP2,0,0.56,2.79,5.02,0,0,0"
"y2045,RUS,SSP2,0,0.28,1.39,2.51,0,0,0"
"y2070,RUS,SSP5,0,1.33,6.65,11.98,0,0,0"
"y2050,RUS,SSP5,0,1.33,6.65,11.98,0,0,0"
"y2055,RUS,SSP5,0,1.33,6.65,11.98,0,0,0"
"y2060,RUS,SSP3,0,0.22,1.09,1.95,0,0,0"
"y2025,RUS,SSP1,0,0.29,1.44,2.6,0,0,0"
"y2045,RUS,SSP5,0,1.11,5.54,9.98,0,0,0"
"y2035,RUS,SSP5,0,0.67,3.33,5.99,0,0,0"
"y2040,RUS,SSP5,0,0.89,4.44,7.98,0,0,0"
"y2075,SAF,SSP5,0,1.52,7.58,13.65,0,0,1.52"
"y2055,SAF,SSP4,0,0.85,4.26,7.66,0,0,0.85"
"y2040,SAF,SSP5,0,0.6,3.02,5.43,0,0,0.6"
"y2045,SAF,SSP5,0,0.75,3.77,6.79,0,0,0.75"
"y2095,SAF,SSP4,0,1.07,5.34,9.61,0,0,1.07"
"y2050,SAF,SSP4,0,0.73,3.65,6.57,0,0,0.73"
"y2025,SAF,SSP4,0,0.12,0.61,1.09,0,0,0.12"
"y2080,SAF,SSP5,0,1.53,7.63,13.73,0,0,1.53"
"y2070,SAF,SSP5,0,1.51,7.54,13.57,0,0,1.51"
"y2035,SAF,SSP5,0,0.45,2.26,4.07,0,0,0.45"
"y2035,SAF,SSP3,0,0.11,0.56,1.01,0,0,0.11"
"y2060,SAF,SSP4,0,0.97,4.86,8.76,0,0,0.97"
"y2100,SAF,SSP4,0,1.08,5.41,9.74,0,0,1.08"
"y2095,SAF,SSP3,0,0.56,2.81,5.06,0,0,0.56"
"y2100,SAF,SSP3,0,0.6,3,5.4,0,0,0.6"
"y2040,SAF,SSP3,0,0.15,0.75,1.35,0,0,0.15"
"y2080,SAF,SSP4,0,1.03,5.14,9.25,0,0,1.03"
"y2030,SAF,SSP5,0,0.3,1.51,2.71,0,0,0.3"
"y2030,SAF,SSP3,0,0.07,0.37,0.67,0,0,0.07"
"y2100,SAF,SSP1,0,1.31,6.56,11.82,0,0,1.31"
"y2050,SAF,SSP5,0,0.9,4.52,8.14,0,0,0.9"
"y2085,SAF,SSP1,0,1.31,6.56,11.82,0,0,1.31"
"y2090,SAF,SSP1,0,1.31,6.56,11.82,0,0,1.31"
"y2085,SAF,SSP2,0,0.92,4.58,8.25,0,0,0.92"
"y2030,SAF,SSP4,0,0.24,1.22,2.19,0,0,0.24"
"y2085,SAF,SSP5,0,1.53,7.63,13.73,0,0,1.53"
"y2025,SAF,SSP3,0,0.04,0.19,0.34,0,0,0.04"
"y2095,SAF,SSP1,0,1.31,6.56,11.82,0,0,1.31"
"y2090,SAF,SSP2,0,0.92,4.62,8.31,0,0,0.92"
"y2065,SAF,SSP4,0,0.99,4.93,8.88,0,0,0.99"
"y2085,SAF,SSP4,0,1.04,5.21,9.37,0,0,1.04"
"y2090,SAF,SSP3,0,0.52,2.62,4.72,0,0,0.52"
"y2080,SAF,SSP2,0,0.91,4.55,8.18,0,0,0.91"
"y2045,SAF,SSP3,0,0.19,0.94,1.69,0,0,0.19"
"y2025,SAF,SSP5,0,0.15,0.75,1.36,0,0,0.15"
"y2090,SAF,SSP4,0,1.05,5.27,9.49,0,0,1.05"
"y2055,SAF,SSP2,0,0.53,2.65,4.77,0,0,0.53"
"y2025,SAF,SSP2,0,0.08,0.38,0.68,0,0,0.08"
"y2055,SAF,SSP5,0,1.06,5.28,9.5,0,0,1.06"
"y2085,SAF,SSP3,0,0.49,2.44,4.38,0,0,0.49"
"y2075,SAF,SSP2,0,0.83,4.17,7.5,0,0,0.83"
"y2060,SAF,SSP2,0,0.61,3.03,5.46,0,0,0.61"
"y2035,SAF,SSP4,0,0.36,1.82,3.28,0,0,0.36"
"y2090,SAF,SSP5,0,1.53,7.63,13.73,0,0,1.53"
"y2050,SAF,SSP2,0,0.45,2.27,4.09,0,0,0.45"
"y2040,SAF,SSP1,0,0.52,2.59,4.66,0,0,0.52"
"y2095,SAF,SSP2,0,0.93,4.65,8.38,0,0,0.93"
"y2070,SAF,SSP4,0,1,5,9,0,0,1"
"y2040,SAF,SSP2,0,0.3,1.52,2.73,0,0,0.3"
"y2080,SAF,SSP3,0,0.45,2.25,4.05,0,0,0.45"
"y2075,SAF,SSP1,0,1.3,6.52,11.74,0,0,1.3"
"y2050,SAF,SSP3,0,0.22,1.12,2.02,0,0,0.22"
"y2070,SAF,SSP3,0,0.37,1.87,3.37,0,0,0.37"
"y2045,SAF,SSP2,0,0.38,1.89,3.41,0,0,0.38"
"y2065,SAF,SSP1,0,1.17,5.83,10.49,0,0,1.17"
"y2030,SAF,SSP2,0,0.15,0.76,1.36,0,0,0.15"
"y2060,SAF,SSP5,0,1.21,6.03,10.86,0,0,1.21"
"y2075,SAF,SSP3,0,0.41,2.06,3.71,0,0,0.41"
"y2055,SAF,SSP1,0,0.91,4.53,8.16,0,0,0.91"
"y2065,SAF,SSP2,0,0.68,3.41,6.14,0,0,0.68"
"y2040,SAF,SSP4,0,0.49,2.43,4.38,0,0,0.49"
"y2095,SAF,SSP5,0,1.53,7.63,13.73,0,0,1.53"
"y2030,SAF,SSP1,0,0.26,1.3,2.33,0,0,0.26"
"y2045,SAF,SSP1,0,0.65,3.24,5.83,0,0,0.65"
"y2100,SAF,SSP2,0,0.93,4.67,8.41,0,0,0.93"
"y2075,SAF,SSP4,0,1.01,5.07,9.12,0,0,1.01"
"y2050,SAF,SSP1,0,0.78,3.89,6.99,0,0,0.78"
"y2035,SAF,SSP1,0,0.39,1.94,3.5,0,0,0.39"
"y2080,SAF,SSP1,0,1.31,6.56,11.82,0,0,1.31"
"y2055,SAF,SSP3,0,0.26,1.31,2.36,0,0,0.26"
"y2060,SAF,SSP3,0,0.3,1.5,2.7,0,0,0.3"
"y2025,SAF,SSP1,0,0.13,0.65,1.17,0,0,0.13"
"y2070,SAF,SSP1,0,1.3,6.48,11.66,0,0,1.3"
"y2035,SAF,SSP2,0,0.23,1.14,2.05,0,0,0.23"
"y2065,SAF,SSP5,0,1.36,6.79,12.22,0,0,1.36"
"y2065,SAF,SSP3,0,0.34,1.69,3.04,0,0,0.34"
"y2060,SAF,SSP1,0,1.04,5.18,9.32,0,0,1.04"
"y2070,SAF,SSP2,0,0.76,3.79,6.82,0,0,0.76"
"y2045,SAF,SSP4,0,0.61,3.04,5.47,0,0,0.61"
"y2100,SAF,SSP5,0,1.53,7.63,13.73,0,0,1.53"
"y2035,SAS,SSP4,0,5.41,27.04,48.68,0,0,0"
"y2030,SAS,SSP4,0,3.61,18.03,32.45,0,0,0"
"y2055,SAS,SSP4,0,12.62,63.1,113.59,0,0,0"
"y2060,SAS,SSP4,0,14.42,72.12,129.82,0,0,0"
"y2095,SAS,SSP3,0,12.12,60.62,109.11,0,0,0"
"y2025,SAS,SSP4,0,1.8,9.01,16.23,0,0,0"
"y2025,SAS,SSP2,0,0.76,3.79,6.83,0,0,0"
"y2030,SAS,SSP2,0,1.52,7.59,13.66,0,0,0"
"y2085,SAS,SSP1,0,12.96,64.78,116.6,0,0,0"
"y2100,SAS,SSP3,0,12.93,64.66,116.38,0,0,0"
"y2100,SAS,SSP1,0,13.25,66.25,119.25,0,0,0"
"y2095,SAS,SSP2,0,11.2,55.98,100.76,0,0,0"
"y2040,SAS,SSP4,0,7.21,36.06,64.91,0,0,0"
"y2090,SAS,SSP1,0,13.05,65.27,117.48,0,0,0"
"y2085,SAS,SSP2,0,9.86,49.32,88.77,0,0,0"
"y2075,SAS,SSP1,0,12.03,60.13,108.24,0,0,0"
"y2100,SAS,SSP2,0,11.77,58.84,105.92,0,0,0"
"y2085,SAS,SSP3,0,10.51,52.53,94.56,0,0,0"
"y2095,SAS,SSP1,0,13.15,65.76,118.37,0,0,0"
"y2090,SAS,SSP2,0,10.62,53.11,95.6,0,0,0"
"y2080,SAS,SSP1,0,12.74,63.68,114.63,0,0,0"
"y2065,SAS,SSP4,0,16.23,81.13,146.04,0,0,0"
"y2090,SAS,SSP3,0,11.32,56.58,101.84,0,0,0"
"y2080,SAS,SSP2,0,9.11,45.53,81.95,0,0,0"
"y2065,SAS,SSP2,0,6.83,34.14,61.46,0,0,0"
"y2035,SAS,SSP2,0,2.28,11.38,20.49,0,0,0"
"y2040,SAS,SSP2,0,3.04,15.18,27.32,0,0,0"
"y2055,SAS,SSP2,0,5.31,26.56,47.8,0,0,0"
"y2045,SAS,SSP1,0,5.66,28.29,50.93,0,0,0"
"y2070,SAS,SSP2,0,7.59,37.94,68.29,0,0,0"
"y2045,SAS,SSP4,0,9.01,45.07,81.13,0,0,0"
"y2075,SAS,SSP2,0,8.35,41.73,75.12,0,0,0"
"y2060,SAS,SSP2,0,6.07,30.35,54.63,0,0,0"
"y2050,SAS,SSP1,0,6.79,33.95,61.11,0,0,0"
"y2025,SAS,SSP3,0,0.81,4.04,7.27,0,0,0"
"y2050,SAS,SSP2,0,4.55,22.76,40.97,0,0,0"
"y2040,SAS,SSP1,0,4.53,22.63,40.74,0,0,0"
"y2070,SAS,SSP1,0,11.32,56.59,101.85,0,0,0"
"y2055,SAS,SSP1,0,7.92,39.61,71.3,0,0,0"
"y2070,SAS,SSP4,0,18.03,90.15,162.27,0,0,0"
"y2080,SAS,SSP3,0,9.7,48.49,87.29,0,0,0"
"y2060,SAS,SSP1,0,9.05,45.27,81.48,0,0,0"
"y2095,SAS,SSP5,0,12.1,60.5,108.9,0,0,0"
"y2100,SAS,SSP5,0,12.18,60.92,109.65,0,0,0"
"y2045,SAS,SSP2,0,3.79,18.97,34.14,0,0,0"
"y2065,SAS,SSP1,0,10.19,50.93,91.67,0,0,0"
"y2085,SAS,SSP5,0,11.93,59.67,107.4,0,0,0"
"y2060,SAS,SSP5,0,8.41,42.04,75.66,0,0,0"
"y2050,SAS,SSP4,0,10.82,54.09,97.36,0,0,0"
"y2025,SAS,SSP1,0,1.13,5.66,10.19,0,0,0"
"y2090,SAS,SSP5,0,12.02,60.08,108.15,0,0,0"
"y2065,SAS,SSP5,0,9.46,47.29,85.12,0,0,0"
"y2030,SAS,SSP3,0,1.62,8.08,14.55,0,0,0"
"y2030,SAS,SSP1,0,2.26,11.32,20.37,0,0,0"
"y2080,SAS,SSP5,0,11.85,59.25,106.66,0,0,0"
"y2070,SAS,SSP3,0,8.08,40.41,72.74,0,0,0"
"y2055,SAS,SSP5,0,7.36,36.78,66.21,0,0,0"
"y2075,SAS,SSP4,0,19.43,97.16,174.88,0,0,0"
"y2035,SAS,SSP1,0,3.4,16.98,30.56,0,0,0"
"y2075,SAS,SSP3,0,8.89,44.45,80.01,0,0,0"
"y2030,SAS,SSP5,0,2.1,10.51,18.92,0,0,0"
"y2095,SAS,SSP4,0,24.97,124.85,224.73,0,0,0"
"y2060,SAS,SSP3,0,6.47,32.33,58.19,0,0,0"
"y2065,SAS,SSP3,0,7.27,36.37,65.47,0,0,0"
"y2050,SAS,SSP5,0,6.31,31.53,56.75,0,0,0"
"y2100,SAS,SSP4,0,26.34,131.69,237.04,0,0,0"
"y2045,SAS,SSP3,0,4.04,20.21,36.37,0,0,0"
"y2070,SAS,SSP5,0,10.51,52.54,94.58,0,0,0"
"y2025,SAS,SSP5,0,1.05,5.25,9.46,0,0,0"
"y2040,SAS,SSP5,0,4.2,21.02,37.83,0,0,0"
"y2035,SAS,SSP3,0,2.42,12.12,21.82,0,0,0"
"y2080,SAS,SSP4,0,20.83,104.16,187.49,0,0,0"
"y2075,SAS,SSP5,0,11.18,55.9,100.62,0,0,0"
"y2045,SAS,SSP5,0,5.25,26.27,47.29,0,0,0"
"y2090,SAS,SSP4,0,23.6,118.01,212.41,0,0,0"
"y2035,SAS,SSP5,0,3.15,15.76,28.37,0,0,0"
"y2085,SAS,SSP4,0,22.23,111.17,200.1,0,0,0"
"y2055,SAS,SSP3,0,5.66,28.29,50.92,0,0,0"
"y2050,SAS,SSP3,0,4.85,24.25,43.64,0,0,0"
"y2040,SAS,SSP3,0,3.23,16.16,29.1,0,0,0"
"y2095,SCO,SSP5,0,0.47,2.36,4.24,0,0,0.47"
"y2030,SCO,SSP2,0,0.16,0.78,1.4,0,0,0.16"
"y2100,SCO,SSP5,0,0.47,2.36,4.24,0,0,0.47"
"y2075,SCO,SSP4,0,0.55,2.76,4.97,0,0,0.55"
"y2040,SCO,SSP4,0,0.44,2.2,3.97,0,0,0.44"
"y2055,SCO,SSP3,0,0.65,3.25,5.84,0,0,0.65"
"y2035,SCO,SSP4,0,0.33,1.65,2.97,0,0,0.33"
"y2055,SCO,SSP5,0,0.47,2.36,4.24,0,0,0.47"
"y2065,SCO,SSP5,0,0.47,2.36,4.24,0,0,0.47"
"y2070,SCO,SSP4,0,0.55,2.76,4.97,0,0,0.55"
"y2050,SCO,SSP5,0,0.47,2.36,4.24,0,0,0.47"
"y2060,SCO,SSP5,0,0.47,2.36,4.24,0,0,0.47"
"y2095,SCO,SSP1,0,0.43,2.15,3.88,0,0,0.43"
"y2050,SCO,SSP3,0,0.56,2.78,5.01,0,0,0.56"
"y2085,SCO,SSP5,0,0.47,2.36,4.24,0,0,0.47"
"y2055,SCO,SSP4,0,0.55,2.76,4.97,0,0,0.55"
"y2045,SCO,SSP3,0,0.46,2.32,4.17,0,0,0.46"
"y2035,SCO,SSP2,0,0.23,1.14,2.04,0,0,0.23"
"y2090,SCO,SSP5,0,0.47,2.36,4.24,0,0,0.47"
"y2060,SCO,SSP4,0,0.55,2.76,4.97,0,0,0.55"
"y2025,SCO,SSP5,0,0.1,0.52,0.94,0,0,0.1"
"y2045,SCO,SSP4,0,0.5,2.48,4.47,0,0,0.5"
"y2080,SCO,SSP5,0,0.47,2.36,4.24,0,0,0.47"
"y2075,SCO,SSP5,0,0.47,2.36,4.24,0,0,0.47"
"y2065,SCO,SSP4,0,0.55,2.76,4.97,0,0,0.55"
"y2050,SCO,SSP4,0,0.55,2.76,4.97,0,0,0.55"
"y2025,SCO,SSP1,0,0.07,0.36,0.65,0,0,0.07"
"y2035,SCO,SSP5,0,0.31,1.56,2.81,0,0,0.31"
"y2095,SCO,SSP2,0,0.67,3.37,6.07,0,0,0.67"
"y2025,SCO,SSP4,0,0.11,0.55,0.99,0,0,0.11"
"y2100,SCO,SSP1,0,0.43,2.15,3.88,0,0,0.43"
"y2070,SCO,SSP5,0,0.47,2.36,4.24,0,0,0.47"
"y2040,SCO,SSP5,0,0.42,2.09,3.75,0,0,0.42"
"y2100,SCO,SSP2,0,0.67,3.37,6.07,0,0,0.67"
"y2030,SCO,SSP4,0,0.22,1.1,1.98,0,0,0.22"
"y2025,SCO,SSP2,0,0.08,0.39,0.7,0,0,0.08"
"y2045,SCO,SSP5,0,0.44,2.22,4,0,0,0.44"
"y2025,SCO,SSP3,0,0.09,0.46,0.83,0,0,0.09"
"y2030,SCO,SSP5,0,0.21,1.04,1.88,0,0,0.21"
"y2040,SCO,SSP3,0,0.37,1.86,3.34,0,0,0.37"
